unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
high_confidence_ks_good,9,amp180_freq5,200,22.51,24.16333333333333,-1.653333333333333,0.5761635957887549,-2.333333333333332,-2.8695553579187125,0.00455447494624369,0.17307004795726022,ON<OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,9,amp100_freq5,200,22.37666666666667,24.003333333333334,-1.6266666666666665,0.6320385247889724,-1.3333333333333321,-2.5736827786087644,0.010789367699634572,0.17571255967976304,ON<OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,177,amp250_freq26,200,13.525,14.92,-1.395,0.43778844682841705,-1.333333333333333,-3.1864705661059713,0.001672393424129472,0.1674652053429807,ON<OFF,False,good,0.1,27.8,high_confidence_ks_good,2,120,2
high_confidence_ks_good,177,amp250_freq5,200,13.481666666666666,14.625,-1.1433333333333335,0.4384602646592871,-1.0,-2.607609914713206,0.009808712619232043,0.17571255967976304,ON<OFF,False,good,0.1,27.8,high_confidence_ks_good,2,120,2
high_confidence_ks_good,9,amp250_freq26,200,23.06,24.20333333333333,-1.1433333333333335,0.5457490664683622,-1.3333333333333357,-2.09497991582843,0.03743815453254517,0.2775440743344837,ON<OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,177,amp180_freq5,200,13.633333333333335,14.51,-0.8766666666666666,0.4594033345390461,-0.6666666666666661,-1.908272319238371,0.057795402336856,0.351472715630059,ON<OFF,False,good,0.1,27.8,high_confidence_ks_good,2,120,2
high_confidence_ks_good,191,amp250_freq26,200,11.405,12.28,-0.875,0.39779850276182954,-1.0,-2.19960606670227,0.02898649805634021,0.26062581062255447,ON<OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_ks_good,9,amp250_freq5,200,22.39666666666667,23.268333333333334,-0.8716666666666668,0.5329022414992968,-1.3333333333333321,-1.635697129391446,0.10348365852891649,0.3805528087837574,ON<OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,112,amp180_freq26,200,10.046666666666667,10.876666666666665,-0.83,0.4363187330964845,-0.6666666666666674,-1.902279084167719,0.05857878593834317,0.351472715630059,ON<OFF,False,good,4.1,18.8,high_confidence_ks_good,4,84,2
high_confidence_ks_good,112,amp250_freq5,200,9.533333333333333,10.34,-0.8066666666666665,0.3886752543936919,-0.6666666666666652,-2.0754258408475583,0.03923270744084458,0.2775440743344837,ON<OFF,False,good,4.1,18.8,high_confidence_ks_good,4,84,2
high_confidence_ks_good,112,amp100_freq5,200,10.178333333333335,10.903333333333334,-0.725,0.47939938635333856,-0.833333333333333,-1.5123089862815196,0.13204171395936856,0.4181320942046671,ON<OFF,False,good,4.1,18.8,high_confidence_ks_good,4,84,2
high_confidence_ks_good,23,amp100_freq26,200,1.6966666666666665,2.408333333333333,-0.7116666666666666,0.4668800511190071,0.0,-1.5243030087941445,0.12902065249947164,0.4181320942046671,ON<OFF,False,good,0.6,51.1,high_confidence_ks_good,6,15,1
high_confidence_ks_good,158,amp100_freq26,200,12.448333333333332,13.103333333333332,-0.655,0.24763963907885264,-0.3333333333333339,-2.64497235756121,0.008821998099962486,0.17571255967976304,ON<OFF,False,good,8.8,14.8,high_confidence_ks_good,8,115,2
high_confidence_ks_good,191,amp250_freq5,200,11.26,11.888333333333332,-0.6283333333333332,0.40546364538331486,-1.0,-1.5496662659837803,0.1228105043899776,0.41177639707227787,ON<OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_ks_good,112,amp250_freq26,200,10.061666666666666,10.671666666666665,-0.6099999999999999,0.4265681811586467,-0.666666666666667,-1.4300175843943976,0.15428012645748534,0.4628403793724561,ON<OFF,False,good,4.1,18.8,high_confidence_ks_good,4,84,2
high_confidence_ks_good,9,amp180_freq26,200,22.62,23.17166666666667,-0.5516666666666665,0.5915116932011966,-0.33333333333333215,-0.9326386494256893,0.3521367344430578,0.6476625929518364,ON<OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,177,amp100_freq5,200,14.061666666666666,14.608333333333333,-0.5466666666666665,0.4410980664065585,-0.6666666666666679,-1.2393313603030076,0.2166824373346087,0.5041183235948039,ON<OFF,False,good,0.1,27.8,high_confidence_ks_good,2,120,2
high_confidence_ks_good,191,amp180_freq26,200,11.428333333333335,11.966666666666667,-0.5383333333333333,0.43070117672146824,-0.5,-1.2498998433929753,0.2128040507984016,0.5041183235948039,ON<OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_ks_good,23,amp250_freq5,200,1.1016666666666666,1.6366666666666665,-0.535,0.3038547941068741,0.0,-1.7607094256075015,0.07982364006622494,0.3736487351347084,ON<OFF,False,good,0.6,51.1,high_confidence_ks_good,6,15,1
high_confidence_ks_good,174,amp250_freq5,200,1.72,2.225,-0.505,0.20882240751001863,0.0,-2.418322851563579,0.016492713516908536,0.1880169340927573,ON<OFF,False,good,0.0,27.7,high_confidence_ks_good,10,121,2
high_confidence_ks_good,23,amp180_freq26,200,0.9683333333333333,1.465,-0.4966666666666666,0.2811100076557991,0.0,-1.7668053542754074,0.07879376948090126,0.3736487351347084,ON<OFF,False,good,0.6,51.1,high_confidence_ks_good,6,15,1
high_confidence_ks_good,80,amp180_freq5,200,12.698333333333334,13.166666666666664,-0.46833333333333343,0.27701948704601703,-0.33333333333333304,-1.6906151199952815,0.09247599835810397,0.3736487351347084,ON<OFF,False,good,8.0,10.7,high_confidence_ks_good,12,61,1
high_confidence_ks_good,9,amp100_freq26,200,24.346666666666664,23.883333333333336,0.46333333333333326,0.650056004115706,-0.33333333333333215,0.7127591013694611,0.47682975130016736,0.6902727793556717,ON>OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_ks_good,191,amp100_freq5,200,11.548333333333336,11.996666666666668,-0.4483333333333334,0.41206400913817254,-0.666666666666667,-1.0880186655248483,0.27790283225240475,0.5977532618259271,ON<OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_ks_good,174,amp250_freq26,200,1.7966666666666669,2.243333333333333,-0.4466666666666667,0.21757559639162266,0.0,-2.0529263119320342,0.04138815143584407,0.2775440743344837,ON<OFF,False,good,0.0,27.7,high_confidence_ks_good,10,121,2
high_confidence_ks_good,0,amp180_freq26,200,8.206666666666667,7.788333333333334,0.4183333333333333,0.17268849095371902,0.0,2.4224737330378763,0.016310960537839383,0.1880169340927573,ON>OFF,False,good,8.0,10.6,high_confidence_ks_good,13,0,1
high_confidence_ks_good,191,amp180_freq5,200,11.493333333333334,11.9,-0.40666666666666657,0.4203117611361996,-0.6666666666666661,-0.9675357776507438,0.3344506656355938,0.6462267098721642,ON<OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_ks_good,0,amp250_freq5,200,8.063333333333333,7.68,0.3833333333333334,0.14434723783222667,0.3333333333333339,2.6556333123525224,0.00855732712237951,0.17571255967976304,ON>OFF,False,good,8.0,10.6,high_confidence_ks_good,13,0,1
high_confidence_ks_good,158,amp100_freq5,200,13.426666666666666,13.045,0.3816666666666667,0.24125575879177563,0.3333333333333339,1.582000233188538,0.11523753864381996,0.40454771649476584,ON>OFF,False,good,8.8,14.8,high_confidence_ks_good,8,115,2
high_confidence_ks_good,119,amp250_freq26,200,1.3033333333333332,0.9333333333333335,0.36999999999999994,0.122867970793,0.0,3.0113625024649586,0.0029379860586487842,0.1674652053429807,ON>OFF,False,good,5.6,26.5,high_confidence_ks_good,17,86,2
high_confidence_ks_good,80,amp100_freq26,200,13.226666666666667,12.861666666666668,0.36499999999999994,0.2928574400261518,0.16666666666666607,1.2463401987240135,0.2141046767270558,0.5041183235948039,ON>OFF,False,good,8.0,10.7,high_confidence_ks_good,12,61,1
