channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected
0,dHPC,A_dHPC_0-31,1,60.0,0.0,False,True
1,dHPC,A_dHPC_0-31,1,60.0,20.0,False,True
2,dHPC,A_dHPC_0-31,1,60.0,40.0,False,True
3,dHPC,A_dHPC_0-31,1,60.0,60.0,False,True
4,dHPC,A_dHPC_0-31,1,60.0,80.0,False,True
5,dHPC,A_dHPC_0-31,1,60.0,100.0,False,True
6,dHPC,A_dHPC_0-31,1,60.0,120.0,False,True
7,dHPC,A_dHPC_0-31,1,60.0,140.0,False,True
8,dHPC,A_dHPC_0-31,1,60.0,160.0,False,True
9,dHPC,A_dHPC_0-31,1,60.0,180.0,False,True
10,dHPC,A_dHPC_0-31,1,60.0,200.0,False,True
11,dHPC,A_dHPC_0-31,1,60.0,220.0,False,True
12,dHPC,A_dHPC_0-31,1,60.0,240.0,False,True
13,dHPC,A_dHPC_0-31,1,60.0,260.0,False,True
14,dHPC,A_dHPC_0-31,1,60.0,280.0,False,True
15,dHPC,A_dHPC_0-31,1,60.0,300.0,False,True
16,dHPC,A_dHPC_0-31,1,60.0,320.0,False,True
17,dHPC,A_dHPC_0-31,1,60.0,340.0,False,True
18,dHPC,A_dHPC_0-31,1,60.0,360.0,False,True
19,dHPC,A_dHPC_0-31,1,60.0,380.0,False,True
20,dHPC,A_dHPC_0-31,1,60.0,400.0,False,True
21,dHPC,A_dHPC_0-31,1,60.0,420.0,False,True
22,dHPC,A_dHPC_0-31,1,60.0,440.0,False,True
23,dHPC,A_dHPC_0-31,1,60.0,460.0,False,True
24,dHPC,A_dHPC_0-31,1,60.0,480.0,False,True
25,dHPC,A_dHPC_0-31,1,60.0,500.0,False,True
26,dHPC,A_dHPC_0-31,1,60.0,520.0,False,True
27,dHPC,A_dHPC_0-31,1,60.0,540.0,False,True
28,dHPC,A_dHPC_0-31,1,60.0,560.0,False,True
29,dHPC,A_dHPC_0-31,1,60.0,580.0,False,True
30,dHPC,A_dHPC_0-31,1,60.0,600.0,False,True
31,dHPC,A_dHPC_0-31,1,60.0,620.0,False,True
32,dHPC,A_dHPC_32-63,2,120.0,0.0,False,True
33,dHPC,A_dHPC_32-63,2,120.0,20.0,False,True
34,dHPC,A_dHPC_32-63,2,120.0,40.0,False,True
35,dHPC,A_dHPC_32-63,2,120.0,60.0,False,True
36,dHPC,A_dHPC_32-63,2,120.0,80.0,False,True
37,dHPC,A_dHPC_32-63,2,120.0,100.0,False,True
38,dHPC,A_dHPC_32-63,2,120.0,120.0,False,True
39,dHPC,A_dHPC_32-63,2,120.0,140.0,False,True
40,dHPC,A_dHPC_32-63,2,120.0,160.0,False,True
41,dHPC,A_dHPC_32-63,2,120.0,180.0,False,True
42,dHPC,A_dHPC_32-63,2,120.0,200.0,False,True
43,dHPC,A_dHPC_32-63,2,120.0,220.0,False,True
44,dHPC,A_dHPC_32-63,2,120.0,240.0,False,True
45,dHPC,A_dHPC_32-63,2,120.0,260.0,False,True
46,dHPC,A_dHPC_32-63,2,120.0,280.0,False,True
47,dHPC,A_dHPC_32-63,2,120.0,300.0,False,True
48,dHPC,A_dHPC_32-63,2,120.0,320.0,False,True
49,dHPC,A_dHPC_32-63,2,120.0,340.0,False,True
50,dHPC,A_dHPC_32-63,2,120.0,360.0,False,True
51,dHPC,A_dHPC_32-63,2,120.0,380.0,False,True
52,dHPC,A_dHPC_32-63,2,120.0,400.0,False,True
53,dHPC,A_dHPC_32-63,2,120.0,420.0,False,True
54,dHPC,A_dHPC_32-63,2,120.0,440.0,False,True
55,dHPC,A_dHPC_32-63,2,120.0,460.0,False,True
56,dHPC,A_dHPC_32-63,2,120.0,480.0,False,True
57,dHPC,A_dHPC_32-63,2,120.0,500.0,False,True
58,dHPC,A_dHPC_32-63,2,120.0,520.0,False,True
59,dHPC,A_dHPC_32-63,2,120.0,540.0,False,True
60,dHPC,A_dHPC_32-63,2,120.0,560.0,False,True
61,dHPC,A_dHPC_32-63,2,120.0,580.0,False,True
62,dHPC,A_dHPC_32-63,2,120.0,600.0,False,True
63,dHPC,A_dHPC_32-63,2,120.0,620.0,False,True
64,dHPC,A_dHPC_64-95,3,180.0,0.0,False,True
65,dHPC,A_dHPC_64-95,3,180.0,20.0,False,True
66,dHPC,A_dHPC_64-95,3,180.0,40.0,False,True
67,dHPC,A_dHPC_64-95,3,180.0,60.0,False,True
68,dHPC,A_dHPC_64-95,3,180.0,80.0,False,True
69,dHPC,A_dHPC_64-95,3,180.0,100.0,False,True
70,dHPC,A_dHPC_64-95,3,180.0,120.0,False,True
71,dHPC,A_dHPC_64-95,3,180.0,140.0,False,True
72,dHPC,A_dHPC_64-95,3,180.0,160.0,False,True
73,dHPC,A_dHPC_64-95,3,180.0,180.0,False,True
74,dHPC,A_dHPC_64-95,3,180.0,200.0,False,True
75,dHPC,A_dHPC_64-95,3,180.0,220.0,False,True
76,dHPC,A_dHPC_64-95,3,180.0,240.0,False,True
77,dHPC,A_dHPC_64-95,3,180.0,260.0,False,True
78,dHPC,A_dHPC_64-95,3,180.0,280.0,False,True
79,dHPC,A_dHPC_64-95,3,180.0,300.0,False,True
80,dHPC,A_dHPC_64-95,3,180.0,320.0,False,True
81,dHPC,A_dHPC_64-95,3,180.0,340.0,False,True
82,dHPC,A_dHPC_64-95,3,180.0,360.0,False,True
83,dHPC,A_dHPC_64-95,3,180.0,380.0,False,True
84,dHPC,A_dHPC_64-95,3,180.0,400.0,False,True
85,dHPC,A_dHPC_64-95,3,180.0,420.0,False,True
86,dHPC,A_dHPC_64-95,3,180.0,440.0,False,True
87,dHPC,A_dHPC_64-95,3,180.0,460.0,False,True
88,dHPC,A_dHPC_64-95,3,180.0,480.0,False,True
89,dHPC,A_dHPC_64-95,3,180.0,500.0,False,True
90,dHPC,A_dHPC_64-95,3,180.0,520.0,False,True
91,dHPC,A_dHPC_64-95,3,180.0,540.0,False,True
92,dHPC,A_dHPC_64-95,3,180.0,560.0,False,True
93,dHPC,A_dHPC_64-95,3,180.0,580.0,False,True
94,dHPC,A_dHPC_64-95,3,180.0,600.0,False,True
95,dHPC,A_dHPC_64-95,3,180.0,620.0,False,True
96,dHPC,A_dHPC_96-127,4,0.0,0.0,False,True
97,dHPC,A_dHPC_96-127,4,0.0,20.0,False,True
98,dHPC,A_dHPC_96-127,4,0.0,40.0,False,True
99,dHPC,A_dHPC_96-127,4,0.0,60.0,False,True
100,dHPC,A_dHPC_96-127,4,0.0,80.0,False,True
101,dHPC,A_dHPC_96-127,4,0.0,100.0,False,True
102,dHPC,A_dHPC_96-127,4,0.0,120.0,False,True
103,dHPC,A_dHPC_96-127,4,0.0,140.0,False,True
104,dHPC,A_dHPC_96-127,4,0.0,160.0,False,True
105,dHPC,A_dHPC_96-127,4,0.0,180.0,False,True
106,dHPC,A_dHPC_96-127,4,0.0,200.0,False,True
107,dHPC,A_dHPC_96-127,4,0.0,220.0,False,True
108,dHPC,A_dHPC_96-127,4,0.0,240.0,False,True
109,dHPC,A_dHPC_96-127,4,0.0,260.0,False,True
110,dHPC,A_dHPC_96-127,4,0.0,280.0,False,True
111,dHPC,A_dHPC_96-127,4,0.0,300.0,False,True
112,dHPC,A_dHPC_96-127,4,0.0,320.0,False,True
113,dHPC,A_dHPC_96-127,4,0.0,340.0,False,True
114,dHPC,A_dHPC_96-127,4,0.0,360.0,False,True
115,dHPC,A_dHPC_96-127,4,0.0,380.0,False,True
116,dHPC,A_dHPC_96-127,4,0.0,400.0,False,True
117,dHPC,A_dHPC_96-127,4,0.0,420.0,False,True
118,dHPC,A_dHPC_96-127,4,0.0,440.0,False,True
119,dHPC,A_dHPC_96-127,4,0.0,460.0,False,True
120,dHPC,A_dHPC_96-127,4,0.0,480.0,False,True
121,dHPC,A_dHPC_96-127,4,0.0,500.0,True,False
122,dHPC,A_dHPC_96-127,4,0.0,520.0,False,True
123,dHPC,A_dHPC_96-127,4,0.0,540.0,False,True
