cluster_id	Amplitude
0	10.6
1	11.4
2	9.7
3	10.1
4	10.0
5	9.0
6	9.9
7	10.6
8	10.6
9	12.6
10	11.8
11	11.3
12	11.5
13	10.7
14	10.0
15	11.4
16	9.5
17	10.3
18	9.6
19	10.6
20	26.6
21	13.4
22	10.5
23	51.1
24	9.8
25	9.9
26	9.9
27	9.9
28	10.0
29	10.2
30	10.0
31	9.1
32	9.9
33	9.9
34	10.0
35	9.5
36	9.9
37	9.5
38	9.6
39	9.3
40	9.2
41	10.3
42	9.2
43	9.3
44	9.6
45	9.6
46	9.9
47	9.6
48	9.4
49	9.4
50	9.9
51	9.5
52	9.6
53	10.3
54	9.7
55	9.8
56	9.6
57	9.8
58	10.6
59	10.8
60	19.4
61	12.2
62	11.0
63	10.6
64	10.9
65	11.8
66	9.8
67	10.7
68	10.0
69	10.4
70	9.8
71	9.7
72	12.8
73	10.2
74	10.0
75	10.1
76	11.4
77	10.8
78	10.8
79	9.7
80	10.7
81	10.3
82	10.1
83	9.7
84	9.7
85	10.0
86	9.7
87	9.6
88	9.0
89	10.2
90	21.2
91	10.1
92	19.9
93	12.2
94	9.6
95	11.4
96	9.4
97	25.5
98	9.8
99	20.6
100	10.1
101	11.3
102	10.2
103	11.8
104	26.7
105	10.5
106	13.6
107	18.7
108	10.9
109	23.1
110	27.2
111	27.2
112	18.8
113	12.0
114	11.6
115	9.7
116	10.2
117	19.0
118	19.7
119	26.5
120	21.8
121	10.2
122	21.2
123	11.3
124	10.4
125	10.1
126	13.0
127	15.8
128	14.9
129	16.5
130	9.9
131	9.8
132	11.5
133	10.0
134	9.3
135	10.1
136	10.7
137	10.1
138	9.5
139	10.3
140	10.5
141	9.9
142	9.9
143	10.6
144	9.9
145	9.8
146	9.9
147	9.3
148	9.8
149	9.8
150	9.8
151	9.7
152	9.7
153	9.6
154	9.6
155	9.6
156	9.6
157	8.9
158	14.8
159	9.7
160	8.8
161	13.4
162	12.6
163	13.5
164	9.5
165	9.5
166	9.7
167	10.0
168	15.3
169	26.4
170	10.7
171	10.2
172	18.3
173	13.9
174	27.7
175	15.1
176	9.6
177	27.8
178	9.9
179	11.0
180	10.5
181	37.5
182	15.4
183	28.3
184	20.4
185	10.3
186	10.1
187	12.3
188	10.2
189	13.3
190	11.3
191	22.6
192	10.7
193	10.8
